Resourceid;FIFOSim;LIFOSim;Randomsim;FIFO expected;LIFO Expected;Random Expected;obs-exp FIFO;Obs-Exp LIFO;Obs-Exp Random;obs-exp FIFI^2;obs-exp LIFO ^2;obs-exp Random ^2;CHI fifo;chi LIFO;CHI random
11049;25,9;36;38,1;26,32;34,21;39,47;-0,42;1,79;-1,37;0,1764;3,2041;1,8769;0,006702128;0,093659749;0,047552572
10629;27;48;25;28,24;48,24;23,53;-1,24;-0,24;1,47;1,5376;0,0576;2,1609;0,054447592;0,00119403;0,091835954
10809;29;57;14;30,43;56,52;13,04;-1,43;0,48;0,96;2,0449;0,2304;0,9216;0,067200131;0,004076433;0,070674847
10609;24,31;47,73;27,95;24,03;48,06;27,91;0,28;-0,33;0,04;0,0784;0,1089;0,0016;0,003262588;0,002265918;5,73E-05
10913;59;30;11;57,53;31,51;10,96;1,47;-1,51;0,04;2,1609;2,2801;0,0016;0,037561272;0,072361155;0,000145985
10899;20;41;39;20;40;40;0;1;-1;0;1;1;0;0,025;0,025
10138;32,33;37,32;30,33;32,35;37,25;30,39;-0,02;0,07;-0,06;0,0004;0,0049;0,0036;1,24E-05;0,000131544;0,00011846
11002;44;43;13;42,86;42,86;14,29;1,14;0,14;-1,29;1,2996;0,0196;1,6641;0,030321979;0,000457303;0,116452064
10972;42;35;23;42,86;34,92;22,22;-0,86;0,08;0,78;0,7396;0,0064;0,6084;0,017256183;0,000183276;0,027380738
10939;68;22;10;69,39;22,45;8,16;-1,39;-0,45;1,84;1,9321;0,2025;3,3856;0,02784407;0,009020045;0,414901961
11203;59;17;24;57,78;15,56;26,67;1,22;1,44;-2,67;1,4884;2,0736;7,1289;0,025759778;0,133264781;0,267300337
11169;39,35;56,09;4,54;39,44;56,34;4,23;-0,09;-0,25;0,31;0,0081;0,0625;0,0961;0,000205375;0,001109336;0,022718676
10982;44;40;16;43,44;41,8;14,75;0,56;-1,8;1,25;0,3136;3,24;1,5625;0,007219153;0,077511962;0,105932203
11000;65;20;15;66,67;22,22;11,11;-1,67;-2,22;3,89;2,7889;4,9284;15,1321;0,041831408;0,22180018;1,362025203
11119;58;31;11;58,67;32;9,33;-0,67;-1;1,67;0,4489;1;2,7889;0,00765127;0,03125;0,298917471
11180;41;33,5;25,5;39,62;33,02;27,36;1,38;0,48;-1,86;1,9044;0,2304;3,4596;0,048066633;0,006977589;0,126447368
11189;30;58;12;27,35;56,84;15,81;2,65;1,16;-3,81;7,0225;1,3456;14,5161;0,256764168;0,023673469;0,918159393
10861;34;40,2;25,8;34,21;38,16;27,63;-0,21;2,04;-1,83;0,0441;4,1616;3,3489;0,001289097;0,109056604;0,121205212
10789;38;28;34;36,36;27,27;36,36;1,64;0,73;-2,36;2,6896;0,5329;5,5696;0,073971397;0,019541621;0,153179318
11001;70;19,2;10,8;70;20;10;0;-0,8;0,8;0;0,64;0,64;0;0,032;0,064
11201;69,1;26,2;4,7;69,23;26,92;3,85;-0,13;-0,72;0,85;0,0169;0,5184;0,7225;0,000244114;0,019257058;0,187662338
10889;37,1;54,1;8,8;36,73;53,06;10,2;0,37;1,04;-1,4;0,1369;1,0816;1,96;0,003727198;0,02038447;0,192156863
10909;15;57,1;27,9;16,67;55,56;27,78;-1,67;1,54;0,12;2,7889;2,3716;0,0144;0,16730054;0,042685385;0,000518359
11121;50,1;40,7;9,3;48,72;41,03;10,26;1,38;-0,33;-0,96;1,9044;0,1089;0,9216;0,03908867;0,002654155;0,089824561
11181;56,2;39,4;4,4;57,43;37,62;4,95;-1,23;1,78;-0,55;1,5129;3,1684;0,3025;0,026343375;0,084221159;0,061111111
10863;59,2;28,8;12;57,89;31,58;10,53;1,31;-2,78;1,47;1,7161;7,7284;2,1609;0,029644153;0,244724509;0,205213675
11179;30;56,2;13,8;29,79;55,32;14,89;0,21;0,88;-1,09;0,0441;0,7744;1,1881;0,001480363;0,013998554;0,079791807
10881;32,1;19,4;48,5;30,95;21,43;47,62;1,15;-2,03;0,88;1,3225;4,1209;0,7744;0,04273021;0,192295847;0,016262075
;;;;;;;;;;;;;;;
;;;;;;;;;;;;Ch-square;1,01792521;1,484756132;5,066545877
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Discarded Resources;;;;;;;;;;;;;;;
10228;0;100;0;0;100;0;0;0;0;0;0;0;#DIV/0!;0;#DIV/0!
10914;100;0;0;100;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!
10933;0;100;0;0;100;0;0;0;0;0;0;0;#DIV/0!;0;#DIV/0!
10188;41;59;0;40;60;0;1;-1;0;1;1;0;0,025;0,016666667;#DIV/0!
11259;50;50;0;50;50;0;0;0;0;0;0;0;0;0;#DIV/0!
11009;75;30;0;73,68;26,32;0;1,32;3,68;0;1,7424;13,5424;0;0,023648208;0,514528875;#DIV/0!
11122;33;67;0;33,33;66,67;0;-0,33;0,33;0;0,1089;0,1089;0;0,003267327;0,001633418;#DIV/0!
11019;100;0;0;100;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!
10912;60;40;;58,82;41,18;0;1,18;-1,18;0;1,3924;1,3924;0;0,02367222;0,03381253;#DIV/0!